## Sus Cup 1 — G1 Tokyo Yushun (Japanese Derby)

**Date:** 2025-08-11
**Race time:** 19:06
**Room ID:** 1662 1798
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Sunny
**Ground:** Firm
**Condition:** Firm
**Mood:** Great
**Season:** Spring
**Rank limit:** A Rank Max

| Pos | Uma                               | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
|  10 | Insight Catch   | NPC      |   5 | B    | —                 | Late  | 1 L        |  11 |
|  11 | Clarinet Rhythm | NPC      |   2 | B    | —                 | End   | 3/4 L      |  16 |
|  12 | Batabata        | NPC      |  12 | C+   | —                 | Pace  | 1 L        |   9 |
|  13 | El Condor Pasa  | Agnes    |  14 | A    | Phantom Bird      | Pace  | 1/2 L      |   7 |
|  14 | Compromise      | NPC      |   4 | B    | —                 | Front | Neck       |  14 |
|  15 | Tudor Garden    | NPC      |  18 | B    | —                 | Pace  | 3 L        |  10 |
|  16 | Nice Nature     | Cruzi    |   3 | B+   | Finals Champion   | Pace  | 2 L        |  18 |
|  17 | Tropical Sky    | NPC      |  17 | B    | —                 | Front | 3/4 L      |  13 |
|  18 | Oguri Cap       | Ananth   |  15 | B+   | Finals Champion   | Pace  | Distance   |  17 |

 

## Sus Cup 8 — Father-Daughter Duo

**Date:** 2025-09-14
**Race time:** 18:40
**Room ID:** 5923 6031
**Race:** Osaka Hai
**Track:** Hanshin Turf
**Distance:** 2000m — Medium
**Direction:** Right
**Weather:** Random
**Ground:** Random
**Mood:** Random
**Rank limit:** Rank Max
**Special rule:** Agnes Tachyon and Daiwa Scarlet Only

| Pos | Uma             | Trainer  | No. | Rank | Title             | Style | Time/Gap   | Fav |
| --: | --------------- | -------- | --: | ---- | ----------------- | ----- | ---------- | --: |
|   1 | Agnes Tachyon   | Agnes    |  16 | A    | True Way of Kings | Pace  | **1:56.7** |   1 |
|   2 | Agnes Tachyon   | Jiinxye  |   9 | A    | Way of Kings      | Pace  | Head       |   5 |
|   3 | Daiwa Scarlet   | Cyciesta |   6 | A    | Legendary Diva    | Pace  | 1 1/4 L    |   2 |
|   4 | Daiwa Scarlet   | Agnes    |  12 | A    | The GOAT          | Front | 1 L        |   7 |
|   5 | Daiwa Scarlet   | Cruzi    |   8 | B+   | Steamy Solidarity | Front | Neck       |  10 |
|   6 | Agnes Tachyon   | Cruzi    |   1 | A    | Finals Champion   | Pace  | 1/2 L      |   6 |
|   7 | Agnes Tachyon   | Cyciesta |   4 | A    | The GOAT          | Late  | 1 3/4 L    |   3 |
|   8 | Aquafall        | NPC      |   5 | B    | —                 | Pace  | 1 3/4 L    |   9 |
